id,url
Q408432,https://www.drugs.com/mtm/protriptyline.html
Q3927403,https://www.drugs.com/mtm/quazepam.html
Q408535,https://www.drugs.com/quetiapine.html
Q417689,https://www.drugs.com/mtm/ramelteon.html
Q407841,https://www.drugs.com/mtm/reserpine.html
Q412443,https://www.drugs.com/risperidone.html
Q411887,https://www.drugs.com/mtm/rivastigmine.html
Q414788,https://www.drugs.com/mtm/secobarbital.html
Q407617,https://www.drugs.com/sertraline.html
Q191521,https://www.drugs.com/sildenafil.html
Q7650517,https://www.drugs.com/belsomra.html
Q421076,https://www.drugs.com/mtm/tacrine.html
Q424156,https://www.drugs.com/tadalafil.html
Q414796,https://www.drugs.com/temazepam.html
Q413050,https://www.drugs.com/mtm/tetrabenazine.html
Q83187,https://www.drugs.com/mtm/thiamine.html
Q58375,https://www.drugs.com/mtm/thioridazine.html
Q907219,https://www.drugs.com/mtm/tiagabine.html
Q221174,https://www.drugs.com/mtm/topiramate.html
Q420885,https://www.drugs.com/mtm/tranylcypromine.html
Q411457,https://www.drugs.com/trazodone.html
Q412143,https://www.drugs.com/mtm/triazolam.html
Q1752915,https://www.drugs.com/mtm/trifluoperazine.html
Q423498,https://www.drugs.com/mtm/trimipramine.html
Q240642,https://www.drugs.com/mtm/valproic-acid.html
Q424161,https://www.drugs.com/mtm/vardenafil.html
Q898407,https://www.drugs.com/venlafaxine.html
Q408588,https://www.drugs.com/mtm/vilazodone.html
Q27139037,https://www.drugs.com/mtm/vilazodone.html
Q420288,https://www.drugs.com/npp/vinpocetine.html
Q3563148,https://www.drugs.com/mtm/vortioxetine.html
Q412226,https://www.drugs.com/mtm/yohimbine.html
Q145052,https://www.drugs.com/mtm/zaleplon.html
Q205517,https://www.drugs.com/mtm/ziprasidone.html
Q218842,https://www.drugs.com/zolpidem.html
Q220426,https://www.drugs.com/zopiclone.html
