age_id,age_bracket,person_id
4,Children (6 to 10),656
5,Elders (65+),656
2,Adults,657
5,Elders (65+),657
1,Preteen,658
3,Teen,658
1,Preteen,659
2,Adults,659
3,Teen,659
5,Elders (65+),659
2,Adults,660
3,Teen,660
5,Elders (65+),660
1,Preteen,661
2,Adults,661
3,Teen,661
4,Children (6 to 10),661
5,Elders (65+),661
2,Adults,662
2,Adults,663
3,Teen,663
2,Adults,664
1,Preteen,665
2,Adults,665
3,Teen,665
4,Children (6 to 10),665
5,Elders (65+),665
2,Adults,666
3,Teen,666
5,Elders (65+),666
2,Adults,667
2,Adults,668
3,Teen,668
1,Preteen,670
2,Adults,670
3,Teen,670
4,Children (6 to 10),670
5,Elders (65+),670
2,Adults,671
3,Teen,671
5,Elders (65+),671
2,Adults,672
5,Elders (65+),672
2,Adults,673
2,Adults,674
2,Adults,675
5,Elders (65+),675
1,Preteen,676
2,Adults,676
3,Teen,676
4,Children (6 to 10),676
1,Preteen,677
2,Adults,677
3,Teen,677
5,Elders (65+),677
2,Adults,678
5,Elders (65+),678
1,Preteen,679
2,Adults,679
3,Teen,679
5,Elders (65+),679
2,Adults,680
5,Elders (65+),680
2,Adults,681
3,Teen,681
2,Adults,682
3,Teen,682
5,Elders (65+),682
1,Preteen,683
2,Adults,683
3,Teen,683
4,Children (6 to 10),683
5,Elders (65+),683
2,Adults,684
3,Teen,684
0,Toddler,685
1,Preteen,685
3,Teen,685
4,Children (6 to 10),685
2,Adults,686
3,Teen,686
5,Elders (65+),686
1,Preteen,687
2,Adults,687
3,Teen,687
4,Children (6 to 10),687
5,Elders (65+),687
2,Adults,688
3,Teen,688
2,Adults,689
3,Teen,689
5,Elders (65+),689
2,Adults,690
1,Preteen,691
2,Adults,691
3,Teen,691
5,Elders (65+),691
2,Adults,692
2,Adults,693
3,Teen,693
5,Elders (65+),693
2,Adults,694
5,Elders (65+),694
2,Adults,695
3,Teen,695
1,Preteen,696
2,Adults,696
3,Teen,696
5,Elders (65+),696
1,Preteen,697
2,Adults,697
3,Teen,697
4,Children (6 to 10),697
2,Adults,698
5,Elders (65+),698
1,Preteen,699
2,Adults,699
3,Teen,699
4,Children (6 to 10),699
1,Preteen,700
2,Adults,700
3,Teen,700
4,Children (6 to 10),700
5,Elders (65+),700
2,Adults,701
2,Adults,702
3,Teen,702
2,Adults,703
5,Elders (65+),703
2,Adults,704
3,Teen,704
1,Preteen,705
2,Adults,705
3,Teen,705
5,Elders (65+),705
2,Adults,706
2,Adults,707
3,Teen,707
1,Preteen,708
2,Adults,708
3,Teen,708
4,Children (6 to 10),708
2,Adults,709
3,Teen,709
2,Adults,710
2,Adults,711
5,Elders (65+),711
2,Adults,712
5,Elders (65+),712
1,Preteen,713
2,Adults,713
