age_id,age_bracket,person_id
5,Elders (65+),64
2,Adults,65
3,Teen,65
2,Adults,66
1,Preteen,67
2,Adults,67
3,Teen,67
4,Children (6 to 10),67
5,Elders (65+),67
2,Adults,69
1,Preteen,70
2,Adults,70
3,Teen,70
2,Adults,71
5,Elders (65+),71
1,Preteen,72
2,Adults,72
3,Teen,72
1,Preteen,73
2,Adults,73
3,Teen,73
5,Elders (65+),73
1,Preteen,74
2,Adults,74
3,Teen,74
5,Elders (65+),74
1,Preteen,75
2,Adults,75
3,Teen,75
5,Elders (65+),75
0,Toddler,76
1,Preteen,76
2,Adults,76
3,Teen,76
4,Children (6 to 10),76
5,Elders (65+),76
2,Adults,77
2,Adults,78
3,Teen,78
5,Elders (65+),78
1,Preteen,79
2,Adults,79
3,Teen,79
2,Adults,80
2,Adults,81
3,Teen,81
1,Preteen,82
2,Adults,82
3,Teen,82
4,Children (6 to 10),82
5,Elders (65+),82
2,Adults,83
5,Elders (65+),83
2,Adults,84
2,Adults,85
3,Teen,85
5,Elders (65+),85
2,Adults,86
3,Teen,86
5,Elders (65+),86
2,Adults,87
3,Teen,87
5,Elders (65+),87
2,Adults,88
3,Teen,88
5,Elders (65+),88
1,Preteen,89
2,Adults,89
3,Teen,89
2,Adults,90
2,Adults,91
3,Teen,91
5,Elders (65+),91
1,Preteen,92
2,Adults,92
3,Teen,92
1,Preteen,93
2,Adults,93
3,Teen,93
5,Elders (65+),93
0,Toddler,94
1,Preteen,94
2,Adults,94
3,Teen,94
4,Children (6 to 10),94
2,Adults,95
3,Teen,95
5,Elders (65+),95
2,Adults,96
3,Teen,96
2,Adults,97
5,Elders (65+),97
2,Adults,98
3,Teen,98
5,Elders (65+),98
1,Preteen,99
2,Adults,99
3,Teen,99
4,Children (6 to 10),99
5,Elders (65+),99
1,Preteen,100
3,Teen,100
2,Adults,101
3,Teen,101
5,Elders (65+),101
2,Adults,102
3,Teen,102
2,Adults,103
3,Teen,103
1,Preteen,104
2,Adults,104
3,Teen,104
4,Children (6 to 10),104
2,Adults,105
3,Teen,105
0,Toddler,106
4,Children (6 to 10),106
1,Preteen,107
2,Adults,107
3,Teen,107
2,Adults,108
3,Teen,108
2,Adults,109
5,Elders (65+),109
1,Preteen,110
2,Adults,110
3,Teen,110
2,Adults,111
3,Teen,111
1,Preteen,112
2,Adults,112
3,Teen,112
5,Elders (65+),112
1,Preteen,114
3,Teen,114
4,Children (6 to 10),114
0,Toddler,115
1,Preteen,115
2,Adults,115
3,Teen,115
4,Children (6 to 10),115
1,Preteen,116
2,Adults,116
3,Teen,116
5,Elders (65+),116
0,Toddler,117
1,Preteen,117
2,Adults,117
3,Teen,117
4,Children (6 to 10),117
5,Elders (65+),117
1,Preteen,118
2,Adults,118
3,Teen,118
2,Adults,119
5,Elders (65+),119
2,Adults,120
3,Teen,120
5,Elders (65+),120
2,Adults,121
5,Elders (65+),121
2,Adults,122
2,Adults,123
3,Teen,123
5,Elders (65+),123
2,Adults,124
5,Elders (65+),124
2,Adults,125
3,Teen,125
5,Elders (65+),125
1,Preteen,126
2,Adults,126
3,Teen,126
2,Adults,127
3,Teen,127
2,Adults,128
5,Elders (65+),128
0,Toddler,129
1,Preteen,129
2,Adults,129
3,Teen,129
4,Children (6 to 10),129
5,Elders (65+),129
1,Preteen,130
2,Adults,130
3,Teen,130
5,Elders (65+),130
2,Adults,131
5,Elders (65+),131
2,Adults,132
5,Elders (65+),132
2,Adults,133
3,Teen,133
5,Elders (65+),133
0,Toddler,134
1,Preteen,134
2,Adults,134
3,Teen,134
4,Children (6 to 10),134
5,Elders (65+),134
2,Adults,135
3,Teen,135
5,Elders (65+),135
1,Preteen,136
2,Adults,136
3,Teen,136
5,Elders (65+),136
2,Adults,137
3,Teen,137
5,Elders (65+),137
1,Preteen,138
2,Adults,138
3,Teen,138
5,Elders (65+),138
1,Preteen,139
2,Adults,139
3,Teen,139
5,Elders (65+),139
1,Preteen,140
