disease_wiki_id,drug_id
Q160796,https://www.drugs.com/trazodone.html
Q83030,https://www.drugs.com/mtm/rivastigmine.html
Q83030,https://www.drugs.com/mtm/olanzapine.html
Q83030,https://www.drugs.com/mtm/pimavanserin.html
Q83030,https://www.drugs.com/mtm/perphenazine.html
Q83030,https://www.drugs.com/mtm/donepezil.html
Q83030,https://www.drugs.com/risperidone.html
Q83030,https://www.drugs.com/aripiprazole.html
Q83030,https://www.drugs.com/mtm/tacrine.html
Q83030,https://www.drugs.com/mtm/galantamine.html
Q83030,https://www.drugs.com/mtm/memantine.html
Q83030,https://www.drugs.com/quetiapine.html
Q225957,https://www.drugs.com/clonazepam.html
Q373822,https://www.drugs.com/sertraline.html
Q373822,https://www.drugs.com/fluoxetine.html
Q373822,https://www.drugs.com/paroxetine.html
Q3448862,https://www.drugs.com/mtm/desmopressin.html
Q184674,https://www.drugs.com/mtm/methyltestosterone.html
Q184674,https://www.drugs.com/mtm/vardenafil.html
Q184674,https://www.drugs.com/mtm/yohimbine.html
Q184674,https://www.drugs.com/sildenafil.html
Q184674,https://www.drugs.com/mtm/ginseng.html
Q184674,https://www.drugs.com/mtm/papaverine.html
Q21504884,https://www.drugs.com/naloxone.html
Q845224,https://www.drugs.com/clonazepam.html
Q845224,https://www.drugs.com/paroxetine.html
Q845224,https://www.drugs.com/sertraline.html
Q845224,https://www.drugs.com/pregabalin.html
Q845224,https://www.drugs.com/alprazolam.html
Q845224,https://www.drugs.com/venlafaxine.html
Q845224,https://www.drugs.com/quetiapine.html
Q845224,https://www.drugs.com/escitalopram.html
Q18558272,https://www.drugs.com/buprenorphine.html
Q751641,https://www.drugs.com/mtm/modafinil.html
Q751641,https://www.drugs.com/methylphenidate.html
Q751641,https://www.drugs.com/mtm/armodafinil.html
Q303555,https://www.drugs.com/mtm/yohimbine.html
Q1201835,https://www.drugs.com/risperidone.html
Q1869874,https://www.drugs.com/gabapentin.html
Q1869874,https://www.drugs.com/mtm/zaleplon.html
Q1869874,https://www.drugs.com/mtm/doxylamine.html
Q1869874,https://www.drugs.com/cdi/amobarbital.html
Q1869874,https://www.drugs.com/mtm/quazepam.html
Q1869874,https://www.drugs.com/diphenhydramine.html
Q1869874,https://www.drugs.com/mirtazapine.html
Q1869874,https://www.drugs.com/mtm/ramelteon.html
Q1869874,https://www.drugs.com/mtm/eszopiclone.html
Q1869874,https://www.drugs.com/mtm/secobarbital.html
Q1869874,https://www.drugs.com/mtm/olanzapine.html
Q1869874,https://www.drugs.com/lorazepam.html
Q1869874,https://www.drugs.com/zolpidem.html
Q1869874,https://www.drugs.com/alprazolam.html
Q1869874,https://www.drugs.com/clonazepam.html
Q1869874,https://www.drugs.com/trazodone.html
